ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
1804,"Child","High","M","M",1,+0007545.96,"Y",17,"551061113","4298402540952068",19300712,"324 BAY HILL DR",,"LOUISVILLE","KY","40216","1658",,,+0022392.24,178,11196,1119,+0044.50,5,9,+00000000.0000,+00001119.61200
1805,"Adult","Low","M","S",2,+0089459.90,"N",53,"509037963","4666808287141826",19370130,"184 CALLE GUATEMALA PMB 50576",,"GUAYNABO","PR","0968","0",,,+0011541.15,22,5770,577,+0005.50,5,5,+00000577.0575,+00000000.00000
1806,"Adult","Low","F","S",1,+0013576.50,"N",39,"155941372","6341560994586184",19741201,"99 MOUNTAIN OAKS VALLEY RD",,"MODESTO","CA","95356","0",,,+0014831.48,25,7415,741,+0006.25,1,5,+00000741.5740,+00000000.00000
1807,"Adult","Low","F","M",2,+0042031.80,"N",51,"982175673","6885805396111276",19760902,"128 OLD STATE ROUTE 66",,"ALBERTVILLE","AL","35951","0",,,+0020452.05,39,10226,1022,+0009.75,5,9,+00001022.6025,+00000000.00000
1808,"Young adult","High","M","S",2,+0043634.50,"N",22,"111063740","6043767164745758",19110505,"SO NV ADULT MENTAL HEALTH SVCS",,"MIDLAND CITY","AL","36350","0",,,+0029442.94,104,14721,1472,+0026.00,5,10,+00000000.0000,+00001472.14700
1809,"Adult","Low","F","S",1,+0013109.10,"N",63,"237707818","4368534525345440",19891028,"412 W ELM ST APT 1",,"FLUSHING","NY","11358","0",,,+0022382.24,40,11191,1119,+0010.00,3,5,+00001119.1120,+00000000.00000
1810,"Adult","High","M","S",1,+0092647.50,"N",56,"895391746","2343346466213847",19500102,"13 CALLE 8 VILLAS DEL MANATI",,"PAYSON","AZ","85541","0",,,+0016041.60,10,8020,802,+0002.50,3,7,+00000000.0000,+00000802.08000
1811,"Adult","Medium","F","S",2,+0021021.60,"Y",63,"128480003","2785897139186388",19110625,"118 PARKER RD",,"ROSARIO","PR","0636","0",,,+0003750.38,11,937,93,+0001.65,2,13,+00000000.0000,+00000093.75950
1812,"Adult","Low","M","S",0,+0074460.70,"Y",55,"200621877","7903777643716613",19951109,"PO BOX 4352",,"TOTOWA","NJ","07512","0",,,+0025532.55,179,12766,1276,+0044.75,2,7,+00001276.6275,+00000000.00000
1813,"Adult","Low","F","S",2,+0028787.40,"N",42,"189119062","2448875050602190",19130403,"40 PROSPECT AVE APT 1-1A",,"BAYONNE","NJ","07002","1454",-074.118818,+040.661585,+0027972.80,58,13986,1398,+0014.50,1,8,+00001398.6400,+00000000.00000
1814,"Adult","High","M","M",1,+0013091.60,"N",59,"820218799","6673607511582989",19220628,"588 UNIVERSITY OF COLORADO",,"DERRY","NH","03038","0",,,+0022792.28,20,11396,1139,+0005.00,5,8,+00000000.0000,+00001139.61400
1815,"Adult","High","F","M",2,+0062061.80,"Y",46,"109717306","3741876381230759",19091011,"V1 COND VILLAS DE PLAYA 2",,"WEST HAVERSTRAW","NY","10993","0",,,+0029862.99,52,14931,1493,+0013.00,2,8,+00000000.0000,+00001493.14950
1816,"Young adult","Low","F","M",1,+0020550.90,"Y",22,"781488585","2059959442162915",19290726,"PO BOX 110108",,"RIVERTON","UT","84065","0",,,+0027722.77,57,13861,1386,+0014.25,3,9,+00001386.1385,+00000000.00000
927,"Young adult","High","M","M",1,+0063900.90,"N",28,"764717506","3816971320205884",19641220,"2154 N FLORIDA MANGO RD",,"LEDGEWOOD","NJ","07852","0",,,+0008360.84,39,2090,209,+0005.85,5,19,+00000000.0000,+00000418.04200
928,"Adult","Medium","M","M",2,+0028766.90,"N",47,"771011745","9575992488501826",19720529,"311 CALLE SAN IGNACIO",,"SUSANVILLE","CA","96130","0",,,+0006110.61,58,1527,152,+0008.70,5,13,+00000000.0000,+00000152.76525
929,"Child","Medium","M","M",1,+0005252.29,"N",16,"167656014","2644992624217658",19671025,"677 STARR RD",,"CORN","OK","73024","0",,,+0002650.27,17,662,66,+0002.55,4,15,+00000000.0000,+00000066.25675
930,"Young adult","High","M","M",2,+0091272.20,"Y",25,"205818543","3921768483710284",19270221,"1 LAUREL COVE BEACH RD",,"FRANKLIN","PA","16323","0",-079.821700,+041.433100,+0026992.70,13,13496,1349,+0003.25,2,5,+00000000.0000,+00001349.63500
931,"Adult","High","M","S",0,+0069000.00,"Y",42,"721905754","2476147851577679",19300801,"100 GENTIAN HOLW",,"APO","AE","09009","4600",,,+0011631.16,115,5815,581,+0028.75,4,10,+00000000.0000,+00000581.55800
932,"Young adult","High","M","M",2,+0001406.05,"Y",19,"143836628","8749890616791617",19340410,"PO BOX 1471",,"KENT","WA","98031","0",-122.199333,+047.419107,+0011551.16,15,5775,577,+0003.75,1,9,+00000000.0000,+00000577.55800
933,"Adult","High","F","S",0,+0073228.30,"N",61,"538531258","7558276554481213",19770522,"5465 BRAESVALLEY DR APT 551",,"ROCKY MOUNT","NC","27801","0",-077.794928,+035.939097,+0022472.25,28,11236,1123,+0007.00,1,8,+00000000.0000,+00001123.61250
934,"Adult","High","F","S",2,+0076231.90,"N",64,"149365356","7503362842966139",19470612,"101 KINGS RD",,"SCARSDALE","NY","10583","0",,,+0002010.20,150,502,50,+0022.50,4,15,+00000000.0000,+00000100.51000
935,"Adult","High","M","M",1,+0064792.30,"N",52,"171579276","1992722199395759",19041227,"610 S ELDORADO ST",,"BELLEVILLE","IL","62221","0",,,+0013051.31,36,6525,652,+0009.00,1,8,+00000000.0000,+00000652.56550
936,"Adult","Low","F","S",0,+0093322.10,"Y",40,"297595787","1337188406830648",19640707,"3095 COUNTRY CLUB DR",,"SUNNYSIDE","NY","11104","0",,,+0029922.99,8,14961,1496,+0002.00,1,6,+00001496.1495,+00000000.00000
937,"Adult","High","M","M",1,+0063437.30,"N",64,"316985580","2114447143626433",19800502,"ALAMEDA SHOP CTR",,"FLUSHING","NY","11355","0",,,+0000680.07,10,170,17,+0001.50,3,20,+00000000.0000,+00000034.00350
938,"Adult","Low","M","M",2,+0049910.70,"Y",52,"107333587","2847718324016209",19490726,"3100 VALLEY VIEW BLVD",,"MORRIS","MN","56267","0",,,+0027422.74,23,13711,1371,+0005.75,3,6,+00001371.1370,+00000000.00000
939,"Adult","Low","M","M",0,+0076161.40,"Y",45,"172369219","5846432173517613",19080131,"10120 WESTVIEW DR APT 611",,"TIMKEN","KS","67575","0",,,+0011961.20,25,5980,598,+0006.25,1,7,+00000598.0600,+00000000.00000
940,"Child","High","F","M",2,+0055860.00,"Y",15,"164491660","8732501577868219",19660908,"11 COMPUTER DR W STE 222",,"EMERSON","KY","41135","0",,,+0016011.60,10,8005,800,+0002.50,2,6,+00000000.0000,+00000800.58000
941,"Senior","High","F","S",1,+0012686.00,"N",65,"476659091","6625771894154474",19060801,"742 MAPLE DR",,"LINDALE","TX","75771","0",,,+0023232.32,80,11616,1161,+0020.00,2,10,+00000000.0000,+00001161.61600
942,"Adult","Medium","M","M",2,+0057360.80,"Y",53,"296046308","8172480775647301",19160528,"PO BOX 1377",,"BROCKET","ND","58321","0",,,+0010361.04,57,5180,518,+0014.25,1,7,+00000000.0000,+00000518.05200
943,"Adult","Low","M","M",1,+0092414.70,"Y",46,"234365324","5051958251868163",19340228,"PO BOX 292033",,"SEATTLE","WA","98103","0",-122.350139,+047.690691,+0029432.94,10,14716,1471,+0002.50,4,8,+00001471.6470,+00000000.00000
944,"Adult","Medium","M","M",0,+0060102.70,"N",42,"132992123","3967653277592522",19540622,"107 WASHINGTON ST",,"SAINT LOUIS","MO","63166","0",,,+0009840.98,62,2460,246,+0009.30,2,15,+00000000.0000,+00000246.02450
945,"Adult","Low","F","M",2,+0017888.70,"N",43,"763357685","2790582576379386",19840201,"121 BALDWIN AVE APT 2R",,"FARRELL","PA","16121","0",,,+0029412.94,332,14706,1470,+0083.00,5,10,+00001470.6470,+00000000.00000
946,"Adult","Low","F","S",1,+0012526.30,"N",54,"166877248","4445266151581626",19580114,"PO BOX 3149",,"CONCORD TWP","OH","44077","0",,,+0011721.17,28,5860,586,+0007.00,5,9,+00000586.0585,+00000000.00000
947,"Adult","High","F","S",2,+0014578.80,"Y",61,"757671130","9088047904729242",19490121,"1540 COND MARBELLA DEL CARIBE",,"FREDONIA","ND","58440","0",,,+0011911.19,95,5955,595,+0023.75,2,10,+00000000.0000,+00000595.55950
948,"Adult","Low","M","M",0,+0078572.20,"Y",42,"406155922","9113736186534535",19050331,"9699 SCOTT MILL ESTATES WAY",,"KINNELON","NJ","07405","0",,,+0021812.18,29,10906,1090,+0007.25,1,5,+00001090.6090,+00000000.00000
949,"Adult","Low","F","M",2,+0048238.80,"N",35,"252926545","5702330211200912",19891112,"84 CALLE SAN CRISTOBAL PMB 18534",,"WATERTOWN","CT","06795","0",,,+0023282.33,168,11641,1164,+0042.00,1,9,+00001164.1165,+00000000.00000
950,"Child","Low","F","M",0,+0028770.90,"N",12,"210842713","3666004753592766",19521015,"139 WILLOW LN",,"NASHVILLE","TN","37206","0",,,+0027992.80,16,13996,1399,+0004.00,4,6,+00001399.6400,+00000000.00000
951,"Adult","Medium","F","M",2,+0087578.20,"Y",53,"183277111","3864300021473012",19840813,"8867 84TH ST SE",,"CARROLLTON","TX","75006","0",,,+0000290.03,22,72,7,+0003.30,5,12,+00000000.0000,+00000007.25075
952,"Child","Medium","F","M",2,+0086695.40,"N",14,"310411829","6751913488076555",19541221,"10996 5TH ST NW",,"OLEAN","NY","14760","0",-078.448419,+042.082118,+0025942.59,32,12971,1297,+0008.00,4,5,+00001297.1295,+00000000.00000
953,"Adult","High","F","S",2,+0076791.20,"N",55,"578726491","3575941306326236",19310909,"1155 N FORMOSA AVE",,"BIRCH RUN","MI","48415","0",,,+0020712.07,23,10356,1035,+0005.75,3,6,+00000000.0000,+00001035.60350
954,"Child","High","F","S",0,+0030763.80,"Y",14,"344208412","2761874931577978",19101003,"125 N 450 W",,"VEGA ALTA","PR","0692","6731",,,+0021322.13,35,10661,1066,+0008.75,5,7,+00000000.0000,+00001066.10650
955,"Adult","Medium","F","M",2,+0003193.60,"N",54,"566382175","1091957468025862",19680629,"315 BARRICKS RD LOT 118",,"NEW YORK","NY","10022","0",,,+0004190.42,114,1047,104,+0017.10,5,11,+00000000.0000,+00000104.76050
956,"Child","High","M","M",1,+0069680.90,"N",16,"197488349","1739113540814986",19510317,"2099 KENNETH ST",,"BELLAIRE","TX","77401","0",,,+0007670.77,32,1917,191,+0004.80,4,17,+00000000.0000,+00000383.53850
957,"Senior","High","F","M",0,+0083287.00,"N",67,"203606516","1938419496482836",19681206,"8435 WH BURGES DR",,"BAY CITY","TX","77414","0",-095.958403,+028.974307,+0029642.96,90,14821,1482,+0022.50,2,8,+00000000.0000,+00001482.14800
958,"Young adult","High","M","S",0,+0002056.06,"Y",19,"821355723","6234083167062642",19330620,"859 PARK FOREST DR",,"JERSEY CITY","NJ","07306","0",-074.080600,+040.729400,+0024072.41,27,12036,1203,+0006.75,2,5,+00000000.0000,+00001203.62050
959,"Adult","Low","F","M",2,+0007776.60,"N",36,"598411588","5949302672502193",19230814,"77 CALLE A",,"NARROWS","VA","24124","0",,,+0025872.59,68,12936,1293,+0017.00,4,6,+00001293.6295,+00000000.00000
960,"Adult","Low","M","M",1,+0002067.82,"N",48,"156514166","5463956587582046",19780930,"40786 OAKLAND CT",,"DALLAS","TX","75205","0",,,+0015251.53,70,7625,762,+0017.50,5,5,+00000762.5765,+00000000.00000
961,"Adult","Medium","M","S",0,+0068000.00,"N",63,"732057513","8867786162660745",19600810,"893 18TH ST",,"NEW YORK","NY","10029","0",-073.951312,+040.788769,+0004580.46,8,1145,114,+0001.20,2,10,+00000000.0000,+00000114.51150
962,"Adult","High","M","M",0,+0069343.30,"N",42,"132031734","8652243273734156",19850419,"903 MAIN ST",,"DUNNELLON","FL","34432","0",,,+0006360.64,15,1590,159,+0002.25,4,15,+00000000.0000,+00000318.03200
963,"Adult","High","F","M",0,+0014932.50,"N",42,"856024297","4657635431679881",19130109,"3065 OAKWOOD ST",,"NEW OXFORD","PA","17350","0",,,+0004910.49,6,1227,122,+0000.90,3,18,+00000000.0000,+00000245.52450
964,"Adult","Medium","F","S",0,+0027498.10,"N",43,"127058877","6932042418183601",19270207,"32 E ARMITAGE AVE",,"NORTH BEND","WA","98045","0",,,+0002200.22,9,550,55,+0001.35,3,15,+00000000.0000,+00000055.00550
965,"Adult","Low","M","M",2,+0021419.90,"N",60,"666487263","6712962372762588",19211105,"9300 MEADOW VALLEY LN UNIT 201",,"RINDGE","NH","03461","0",,,+0026392.64,103,13196,1319,+0025.75,4,10,+00001319.6320,+00000000.00000
966,"Young adult","Medium","M","M",2,+0030665.20,"Y",23,"424333412","8831646014475205",19490210,"117 CALLE 5 VILLAS DE BUENAVENTURA",,"HOLLYWOOD","FL","33029","0",,,+0005830.58,63,1457,145,+0009.45,1,10,+00000000.0000,+00000145.76450
967,"Adult","Medium","F","M",1,+0078000.00,"Y",59,"156818455","6377868291050040",19330814,"HC 4 BOX 4170",,"FLUSHING","NY","11355","4916",,,+0006080.61,30,1520,152,+0004.50,3,11,+00000000.0000,+00000152.01525
968,"Adult","High","F","M",2,+0050561.30,"N",46,"983472844","7332637522480269",19440308,"6030 GREENWOOD PLAZA BLVD STE 100F",,"GUAYNABO","PR","0966","0",,,+0016601.66,113,8300,830,+0028.25,1,5,+00000000.0000,+00000830.08300
969,"Adult","High","F","S",2,+0023464.00,"Y",52,"149766928","6736447236640008",19291011,"4031 WALKER RD",,"HOBOKEN","NJ","07030","2662",-074.040971,+040.741928,+0022432.24,41,11216,1121,+0010.25,5,8,+00000000.0000,+00001121.61200
970,"Senior","High","F","M",2,+0000194.57,"N",70,"114439310","9294390078055435",19301020,"PO BOX 177",,"ARAB","AL","35016","0",-086.506195,+034.314457,+0028262.83,38,14131,1413,+0009.50,5,6,+00000000.0000,+00001413.14150
971,"Senior","Low","F","M",1,+0098680.40,"Y",70,"480905801","3142144894089861",19101115,"7691 SANDERS RD",,"HARDY","AR","72542","0",,,+0017581.76,8,8790,879,+0002.00,2,9,+00000879.0880,+00000000.00000
972,"Adult","High","M","M",0,+0065619.70,"Y",52,"197432837","3595673273998895",19250618,"200 BLUEBIRD DR",,"BRIGHTON","MA","02135","0",-071.141200,+042.342582,+0013561.36,144,6780,678,+0036.00,2,10,+00000000.0000,+00000678.06800
973,"Adult","Medium","F","M",1,+0095620.30,"Y",61,"144043941","3356774830375524",19470319,"917 CLINTON ST # 7621 # 3346",,"BOWIE","TX","76230","0",,,+0010911.09,93,5455,545,+0023.25,3,9,+00000000.0000,+00000545.55450
974,"Adult","Low","F","S",0,+0085275.00,"N",42,"715271125","2847570104216405",19760218,"671 WESTCHESTER AVE APT 18G",,"FAIRHOPE","AL","36532","0",,,+0022482.25,151,11241,1124,+0037.75,4,8,+00001124.1125,+00000000.00000
975,"Adult","High","F","M",1,+0066921.40,"Y",53,"115676596","7572014902262921",19211208,"2632 JAMAICA BLVD S APT 1242",,"EAST PEORIA","IL","61611","0",,,+0015701.57,8,7850,785,+0002.00,2,7,+00000000.0000,+00000785.07850
976,"Adult","High","F","M",1,+0098453.60,"Y",62,"563134475","7337217943402833",19200526,"PO BOX 3181",,"URBANA","IL","61801","0",,,+0013721.37,11,6860,686,+0002.75,5,7,+00000000.0000,+00000686.06850
977,"Young adult","Low","F","M",2,+0094026.80,"Y",28,"236559966","8997377396254833",19340304,"500 CALLE C",,"BROWNSTOWN","MI","48173","0",-083.246881,+042.066965,+0025002.50,10,12501,1250,+0002.50,2,9,+00001250.1250,+00000000.00000
978,"Adult","High","F","S",2,+0057420.00,"Y",43,"191443709","6725519023896811",19121229,"45 LANTERN LN",,"CHAMPAIGN","IL","61820","0",,,+0025182.52,252,12591,1259,+0063.00,4,10,+00000000.0000,+00001259.12600
979,"Adult","High","M","M",0,+0068000.00,"N",49,"462469369","6085324560398903",19670824,"7640 W GREENWAY BLVD APT 4A",,"SWAMPSCOTT","MA","01907","0",,,+0003930.39,26,982,98,+0003.90,4,19,+00000000.0000,+00000196.51950
980,"Adult","High","M","M",2,+0047639.10,"N",43,"261852620","5568234399253440",19550219,"2576 TOWNE HOUSE DR NE",,"DALLAS","TX","75214","0",,,+0017481.75,39,8740,874,+0009.75,4,6,+00000000.0000,+00000874.08750
981,"Adult","High","F","M",2,+0063234.50,"Y",52,"187538058","5808864537999746",19541120,"708 HILLSBORO ST",,"BAYAMON","PR","0959","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
982,"Adult","Medium","M","M",0,+0003911.90,"N",38,"147756832","4928805251540056",19830512,"3839 W UNIVERSITY AVE",,"BULVERDE","TX","78163","0",,,+0005720.57,25,1430,143,+0003.75,1,13,+00000000.0000,+00000143.01425
983,"Adult","High","F","M",2,+0018296.40,"Y",43,"572264449","2313323807863563",19100209,"3201 152ND ST",,"HEMINGWAY","SC","29554","0",,,+0000080.01,10,20,2,+0001.50,4,18,+00000000.0000,+00000004.00050
984,"Young adult","High","F","S",0,+0039461.00,"N",22,"306623428","3693798354863996",19170904,"98 WATER ST",,"GARDENA","CA","90249","0",,,+0022872.29,103,11436,1143,+0025.75,4,7,+00000000.0000,+00001143.61450
985,"Adult","High","F","M",2,+0052957.00,"Y",40,"491965244","3909211158663989",19830321,"5334 S 1000 W",,"CHESTER","MA","01011","0",,,+0025792.58,125,12896,1289,+0031.25,1,5,+00000000.0000,+00001289.62900
986,"Senior","High","F","S",2,+0086747.10,"N",65,"628902666","7654803716609635",19780809,"K405 RIVER ST",,"FAYETTE","MO","65248","0",-092.679233,+039.143937,+0020152.02,37,10076,1007,+0009.25,5,6,+00000000.0000,+00001007.60100
987,"Adult","High","F","M",1,+0087404.60,"N",63,"134023272","7291789915585037",19681119,"1301 HERMITAGE DR APT 618",,"HUNTSVILLE","AL","35801","0",-086.585312,+034.733646,+0021632.16,139,10816,1081,+0034.75,2,5,+00000000.0000,+00001081.60800
988,"Young adult","High","F","M",2,+0085394.00,"Y",20,"380546761","2908548404324289",19940225,"320 BALDWIN RD",,"KINGMAN","AZ","86409","0",,,+0019281.93,14,9640,964,+0003.50,3,8,+00000000.0000,+00000964.09650
989,"Adult","Medium","F","S",0,+0002121.36,"N",40,"145025838","5384649497322313",19540126,"591 CORPORATE DR",,"ROSENBERG","TX","77471","0",,,+0002020.20,36,505,50,+0005.40,5,12,+00000000.0000,+00000050.50500
990,"Adult","Medium","F","M",2,+0063566.10,"Y",56,"732434860","5376897806731530",19810809,"BUZON 499",,"CLARK","NJ","07066","2049",,,+0007940.79,65,1985,198,+0009.75,2,12,+00000000.0000,+00000198.51975
991,"Child","Low","F","S",0,+0089813.60,"N",13,"194568842","4844273169926823",19620102,"PO BOX 140",,"NEW YORK","NY","10002","0",-073.983654,+040.711488,+0014941.49,149,7470,747,+0037.25,3,6,+00000747.0745,+00000000.00000
992,"Adult","Medium","F","M",2,+0082644.20,"Y",33,"348322555","1726349353944574",19031015,"304 SHEPARD RD",,"FLUSHING","NY","11358","0",,,+0021972.20,19,10986,1098,+0004.75,1,9,+00000000.0000,+00001098.61000
993,"Child","High","F","S",1,+0027783.60,"N",14,"205275220","1033460852412060",19980103,"600 N MAIN ST",,"BERKELEY","CA","94720","2288",,,+0004970.50,18,1242,124,+0002.70,1,16,+00000000.0000,+00000248.52500
994,"Adult","Low","F","M",2,+0060485.50,"N",42,"654229073","9049919320406819",19060217,"2385 STATE ROAD 227 S",,"MOBILE","AL","36608","0",,,+0011701.17,28,5850,585,+0007.00,4,6,+00000585.0585,+00000000.00000
995,"Adult","High","F","M",2,+0000809.43,"Y",32,"130542102","3662685744064765",19721120,"9219 SE 59TH DR",,"BRIDGEPORT","AL","35740","0",-085.713169,+034.942105,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
996,"Adult","Low","M","S",1,+0076529.80,"N",58,"571755818","1470328267967935",19191109,"3365 BRUCE ST",,"HOLLYWOOD","FL","33020","0",,,+0018461.85,20,9230,923,+0005.00,5,9,+00000923.0925,+00000000.00000
997,"Adult","High","F","M",2,+0034577.70,"N",63,"107856248","1347918024972061",19970328,"3353 S DAY ST",,"BOGALUSA","LA","70427","0",-089.852921,+030.796336,+0029182.92,116,14591,1459,+0029.00,3,9,+00000000.0000,+00001459.14600
998,"Adult","Low","F","S",2,+0019008.40,"Y",52,"726121938","3211539033109780",19950810,"723 BEAR CLAW RD",,"HACKENSACK","NJ","07601","0",,,+0010541.05,137,5270,527,+0034.25,2,5,+00000527.0525,+00000000.00000
999,"Adult","Low","F","M",0,+0098056.30,"N",56,"155522866","2138322241137335",19530221,"140 CALLE OTONO",,"SCHOFIELD","WI","54476","0",,,+0023702.37,126,11851,1185,+0031.50,5,5,+00001185.1185,+00000000.00000
1000,"Adult","High","M","M",0,+0080000.00,"Y",45,"428748123","3487640838336937",19270109,"1 ELIZABETH ST # 823 # 1362",,"INDIAN ROCKS BEACH","FL","33785","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1001,"Adult","Medium","M","M",0,+0078894.20,"N",34,"187051503","2305202715936025",19570705,"562 UNIVERSITY OF COLORADO",,"FLUSHING","NY","11354","0",-073.831070,+040.765756,+0002000.20,43,500,50,+0006.45,1,14,+00000000.0000,+00000050.00500
1002,"Young adult","Low","M","S",1,+0016432.10,"Y",21,"203613446","1951027394381831",19950211,"RR 4 BOX 7280",,"COLLINS","MO","64738","0",,,+0020412.04,80,10206,1020,+0020.00,2,8,+00001020.6020,+00000000.00000
1003,"Adult","High","M","M",1,+0062797.90,"N",54,"255592851","7100715209515782",19830802,"2016 E RANDOL MILL RD STE 403",,"CUTLER","IN","46920","0",,,+0008320.83,55,2080,208,+0008.25,5,15,+00000000.0000,+00000416.04150
1004,"Adult","High","M","S",1,+0071329.90,"Y",42,"116347080","1798813299477105",19351027,"3634 ALLEN ST",,"PHOENIX","AZ","85016","0",,,+0014271.43,45,7135,713,+0011.25,3,8,+00000000.0000,+00000713.57150
1005,"Adult","Low","F","S",0,+0020913.60,"N",53,"603921940","1392322274687008",19710401,"50 BRIAR HOLLOW LN STE 245W",,"HOUSTON","TX","77082","3320",,,+0022992.30,65,11496,1149,+0016.25,3,6,+00001149.6150,+00000000.00000
1006,"Adult","High","F","S",1,+0000540.40,"Y",39,"141235881","6046413441495752",19470710,"60 NORTH ST",,"TORONTO","OH","43964","0",-080.602624,+040.468879,+0012341.23,7,6170,617,+0001.75,4,6,+00000000.0000,+00000617.06150
1007,"Child","High","M","M",2,+0067339.80,"N",17,"121978424","1443082778338482",19980321,"272 TRAILS END PMB 5726",,"SEATTLE","WA","98103","3784",-122.350139,+047.690691,+0027832.78,48,13916,1391,+0012.00,1,5,+00000000.0000,+00001391.63900
1008,"Adult","High","M","M",1,+0075799.90,"N",46,"840481906","1631501937085936",19360709,"16747 MAPLEWILD AVE SW",,"MARLTON","NJ","08053","0",,,+0022242.22,64,11121,1112,+0016.00,3,10,+00000000.0000,+00001112.11100
1009,"Adult","Low","F","S",2,+0015688.50,"N",53,"117931226","1559487034785794",19490814,"14614 FALLING CREEK DR STE 124",,"FAIRFIELD","NJ","07004","0",,,+0014391.44,8,7195,719,+0002.00,2,7,+00000719.5720,+00000000.00000
1010,"Child","Low","F","S",0,+0043382.30,"N",16,"168225361","3719570024117622",19541219,"1263 CHURCH ST",,"HOUSTON","TX","77036","0",-095.511024,+029.712919,+0029672.97,99,14836,1483,+0024.75,4,7,+00001483.6485,+00000000.00000
1011,"Adult","Low","F","S",0,+0005185.31,"N",62,"110233452","6852830903443463",19910829,"4786 OQUINN BLVD SE",,"SOUTH AMBOY","NJ","08879","0",-074.277283,+040.479361,+0016391.64,30,8195,819,+0007.50,4,5,+00000819.5820,+00000000.00000
1012,"Child","Low","F","S",1,+0035089.00,"N",16,"907209206","5470351021912811",19460704,"HC 75 BOX 309",,"BAY CITY","TX","77414","0",-095.958403,+028.974307,+0026012.60,108,13006,1300,+0027.00,3,8,+00001300.6300,+00000000.00000
1013,"Young adult","Low","F","S",0,+0037000.00,"N",22,"183001044","8241418794182657",19380501,"598 OLD MNCHC RD",,"SEATTLE","WA","98199","0",,,+0022962.30,75,11481,1148,+0018.75,1,6,+00001148.1150,+00000000.00000
1014,"Adult","High","F","M",2,+0080087.70,"N",42,"167459897","2638618722248889",19011009,"RR 1 BOX 8513",,"TINTON FALLS","NJ","07727","0",,,+0008740.87,22,2185,218,+0003.30,5,17,+00000000.0000,+00000437.04350
1015,"Adult","High","F","M",2,+0059691.30,"N",38,"121383263","6363855410436561",19530414,"735 W DECATUR ST APT 19",,"MARATHON","FL","33050","0",,,+0021942.19,256,10971,1097,+0064.00,1,8,+00000000.0000,+00001097.10950
1016,"Adult","High","F","S",2,+0011251.10,"Y",47,"174492046","3354922359924371",19520826,"2 MOUNTAIN OAKS LN",,"GUAYANILLA","PR","0656","0",,,+0028422.84,113,14211,1421,+0028.25,3,7,+00000000.0000,+00001421.14200
1017,"Adult","Medium","M","M",1,+0070908.70,"N",50,"156017993","8045332078677624",19110624,"9197 WH BURGES DR",,"WHITINSVILLE","MA","01588","0",,,+0007700.77,43,1925,192,+0006.45,2,11,+00000000.0000,+00000192.51925
1018,"Adult","High","M","S",0,+0094928.30,"N",40,"134785590","9042678718891389",19530409,"97 WOODLAKE DR APT 114",,"DE MOSSVILLE","KY","41033","0",,,+0014421.44,73,7210,721,+0018.25,3,5,+00000000.0000,+00000721.07200
1019,"Adult","Low","F","M",2,+0050622.30,"N",40,"555038807","9421535140100647",19351128,"73 FRANCIS ST",,"GIDDINGS","TX","78942","0",,,+0020452.05,90,10226,1022,+0022.50,5,8,+00001022.6025,+00000000.00000
1020,"Adult","High","M","M",0,+0100020.00,"Y",46,"160627638","5626752581048318",19650721,"3437 E LAKE RD",,"ANAMOSA","IA","52205","0",,,+0016201.62,18,8100,810,+0004.50,1,9,+00000000.0000,+00000810.08100
1021,"Adult","Low","M","M",0,+0069000.00,"Y",52,"208029076","8793831087722355",19341118,"698 STATE ROUTE FF",,"CASCADE","MO","63632","0",,,+0029552.96,62,14776,1477,+0015.50,2,5,+00001477.6480,+00000000.00000
1022,"Adult","High","M","S",1,+0037626.00,"N",34,"353243583","8571071233310905",19391129,"5560 61ST ST N",,"ISABELA","PR","0662","0",,,+0007500.75,71,1875,187,+0010.65,2,16,+00000000.0000,+00000375.03750
1023,"Adult","Low","F","M",1,+0056722.80,"N",61,"164110863","8562384623292043",19000609,"PO BOX 1252",,"FAIRFIELD","OH","45014","0",,,+0017371.74,51,8685,868,+0012.75,4,6,+00000868.5870,+00000000.00000
1817,"Young adult","High","M","M",2,+0001765.41,"N",19,"134080646","6884585898510194",19171203,"84 CALLE SAN CRISTOBAL PMB 18534",,"WATERTOWN","CT","06795","0",,,+0003040.30,44,760,76,+0006.60,3,19,+00000000.0000,+00000152.01500
1818,"Adult","High","F","S",2,+0019131.10,"N",56,"165313565","1588205227484516",19100802,"50 HARRISON ST STE 203A # 2796",,"PHOENIX","AZ","85048","0",,,+0022152.22,34,11076,1107,+0008.50,1,7,+00000000.0000,+00001107.61100
